Industry,Ratio,10MA,Trend,Slope,Status
Residential Construction,0.05555555555555555,0.22777777777777777,Down,-0.0111111111111111,Oversold
Shell Companies,0.0392156862745098,0.03401073555457573,Down,-0.0018476621417797892,Oversold
Airlines,0.0,0.14615384615384616,Down,-0.030769230769230743,Oversold
Airports & Air Services,0.0,0.4333333333333333,Down,-0.10000000000000003,Oversold
Business Equipment & Supplies,0.0,0.1,Down,-0.1,Oversold
Consulting Services,0.0,0.0,Down,0.0,Oversold
Copper,0.0,0.4800000000000001,Down,-0.05999999999999994,Oversold
Confectioners,0.0,0.06666666666666665,Down,-0.03333333333333334,Oversold
Medical Instruments & Supplies,0.0,0.11674876847290641,Down,-0.017241379310344807,Oversold
Medical Distribution,0.0,0.025,Down,0.0,Oversold
Lumber & Wood Production,0.0,0.0,Down,0.0,Oversold
Infrastructure Operations,0.0,0.0,Down,0.0,Oversold
Home Improvement Retail,0.0,0.05,Down,0.0,Oversold
Closed-End Fund - Debt,0.0,0.006203414640914641,Down,-0.0031746031746031746,Oversold
Coking Coal,0.0,0.06666666666666665,Down,0.0,Oversold
Electronic Gaming & Multimedia,0.0,0.075,Down,-0.02500000000000001,Oversold
Real Estate - Diversified,0.0,0.4,Down,0.0,Oversold
Mortgage Finance,0.0,0.0,Down,0.0,Oversold
Packaging & Containers,0.0,0.1738095238095238,Down,-0.046666666666666634,Oversold
Paper & Paper Products,0.0,0.0,Down,0.0,Oversold
Staffing & Employment Services,0.0,0.0,Down,0.0,Oversold
Thermal Coal,0.0,0.0,Down,0.0,Oversold
Textile Manufacturing,0.0,0.0,Down,0.0,Oversold
Utilities - Independent Power Producers,0.0,0.03333333333333333,Down,0.0,Oversold
